"BehaviorSpace results (NetLogo 6.3.0)"
"project.nlogo"
"simple-first-experiment"
"10/19/2022 13:04:41:128 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","yellow-food-percentage","n-shelter","n-basic-agent","green-food-percentage","n-expert-agent","trap-percentage","[step]","count basic-agent","count expert-agent"
"3","0","0","5","0","5","0.4","76","0","3"
"4","0","0","5","0","5","0.4","82","0","2"
"3","0","0","5","0","5","0.4","77","0","3"
"4","0","0","5","0","5","0.4","83","0","2"
"2","0","0","5","0","5","0.4","81","1","4"
"3","0","0","5","0","5","0.4","78","0","3"
"2","0","0","5","0","5","0.4","82","1","4"
"3","0","0","5","0","5","0.4","79","0","3"
"4","0","0","5","0","5","0.4","84","0","2"
"3","0","0","5","0","5","0.4","80","0","3"
"4","0","0","5","0","5","0.4","85","0","2"
"2","0","0","5","0","5","0.4","83","1","4"
"3","0","0","5","0","5","0.4","81","0","3"
"4","0","0","5","0","5","0.4","86","0","2"
"3","0","0","5","0","5","0.4","82","0","3"
"4","0","0","5","0","5","0.4","87","0","2"
"2","0","0","5","0","5","0.4","84","1","4"
"4","0","0","5","0","5","0.4","88","0","2"
"3","0","0","5","0","5","0.4","83","0","3"
"2","0","0","5","0","5","0.4","85","1","4"
"4","0","0","5","0","5","0.4","89","0","2"
"3","0","0","5","0","5","0.4","84","0","3"
"3","0","0","5","0","5","0.4","85","0","3"
"4","0","0","5","0","5","0.4","90","0","2"
"2","0","0","5","0","5","0.4","86","1","4"
"3","0","0","5","0","5","0.4","86","0","3"
"4","0","0","5","0","5","0.4","91","0","2"
"2","0","0","5","0","5","0.4","87","1","4"
"3","0","0","5","0","5","0.4","87","0","3"
"4","0","0","5","0","5","0.4","92","0","2"
"3","0","0","5","0","5","0.4","88","0","3"
"2","0","0","5","0","5","0.4","88","1","2"
"4","0","0","5","0","5","0.4","93","0","2"
"3","0","0","5","0","5","0.4","89","0","3"
"4","0","0","5","0","5","0.4","94","0","2"
"3","0","0","5","0","5","0.4","90","0","3"
"4","0","0","5","0","5","0.4","95","0","2"
"3","0","0","5","0","5","0.4","91","0","3"
"4","0","0","5","0","5","0.4","96","0","2"
"3","0","0","5","0","5","0.4","92","0","3"
"4","0","0","5","0","5","0.4","97","0","2"
"3","0","0","5","0","5","0.4","93","0","3"
"3","0","0","5","0","5","0.4","94","0","3"
"4","0","0","5","0","5","0.4","98","0","2"
"3","0","0","5","0","5","0.4","95","0","3"
"4","0","0","5","0","5","0.4","99","0","2"
"3","0","0","5","0","5","0.4","96","0","3"
"3","0","0","5","0","5","0.4","97","0","3"
"3","0","0","5","0","5","0.4","98","0","3"
"4","0","0","5","0","5","0.4","100","0","1"
"3","0","0","5","0","5","0.4","99","0","2"
"4","0","0","5","0","5","0.4","101","0","1"
"3","0","0","5","0","5","0.4","100","0","1"
"4","0","0","5","0","5","0.4","102","0","1"
"4","0","0","5","0","5","0.4","103","0","1"
"3","0","0","5","0","5","0.4","101","0","1"
"4","0","0","5","0","5","0.4","104","0","1"
"3","0","0","5","0","5","0.4","102","0","1"
"4","0","0","5","0","5","0.4","105","0","1"
"3","0","0","5","0","5","0.4","103","0","1"
"4","0","0","5","0","5","0.4","106","0","1"
"3","0","0","5","0","5","0.4","104","0","1"
"4","0","0","5","0","5","0.4","107","0","1"
"3","0","0","5","0","5","0.4","105","0","1"
"4","0","0","5","0","5","0.4","108","0","1"
"3","0","0","5","0","5","0.4","106","0","1"
"4","0","0","5","0","5","0.4","109","0","1"
"3","0","0","5","0","5","0.4","107","0","1"
"4","0","0","5","0","5","0.4","110","0","1"
"3","0","0","5","0","5","0.4","108","0","1"
"4","0","0","5","0","5","0.4","111","0","1"
"3","0","0","5","0","5","0.4","109","0","1"
"4","0","0","5","0","5","0.4","112","0","1"
"3","0","0","5","0","5","0.4","110","0","1"
"4","0","0","5","0","5","0.4","113","0","1"
"3","0","0","5","0","5","0.4","111","0","1"
"4","0","0","5","0","5","0.4","114","0","1"
"3","0","0","5","0","5","0.4","112","0","1"
"4","0","0","5","0","5","0.4","115","0","1"
"3","0","0","5","0","5","0.4","113","0","1"
"4","0","0","5","0","5","0.4","116","0","1"
"3","0","0","5","0","5","0.4","114","0","1"
"4","0","0","5","0","5","0.4","117","0","1"
"3","0","0","5","0","5","0.4","115","0","1"
"4","0","0","5","0","5","0.4","118","0","1"
"3","0","0","5","0","5","0.4","116","0","1"
"4","0","0","5","0","5","0.4","119","0","1"
"3","0","0","5","0","5","0.4","117","0","1"
"4","0","0","5","0","5","0.4","120","0","1"
"3","0","0","5","0","5","0.4","118","0","1"
"4","0","0","5","0","5","0.4","121","0","1"
"4","0","0","5","0","5","0.4","122","0","1"
"3","0","0","5","0","5","0.4","119","0","1"
"4","0","0","5","0","5","0.4","123","0","1"
"3","0","0","5","0","5","0.4","120","0","1"
"4","0","0","5","0","5","0.4","124","0","1"
"3","0","0","5","0","5","0.4","121","0","1"
"4","0","0","5","0","5","0.4","125","0","1"
"3","0","0","5","0","5","0.4","122","0","1"
"4","0","0","5","0","5","0.4","126","0","1"
"4","0","0","5","0","5","0.4","127","0","1"
"4","0","0","5","0","5","0.4","128","0","1"
"4","0","0","5","0","5","0.4","129","0","1"
"4","0","0","5","0","5","0.4","130","0","1"
"4","0","0","5","0","5","0.4","131","0","1"
"4","0","0","5","0","5","0.4","132","0","1"
"4","0","0","5","0","5","0.4","133","0","1"
"4","0","0","5","0","5","0.4","134","0","1"
"4","0","0","5","0","5","0.4","135","0","1"
"4","0","0","5","0","5","0.4","136","0","1"
"4","0","0","5","0","5","0.4","137","0","1"
"4","0","0","5","0","5","0.4","138","0","1"
"4","0","0","5","0","5","0.4","139","0","1"
"4","0","0","5","0","5","0.4","140","0","1"
"4","0","0","5","0","5","0.4","141","0","1"
"5","0","0","5","0","5","0.4","0","5","5"
"4","0","0","5","0","5","0.4","142","0","1"
"4","0","0","5","0","5","0.4","143","0","1"
"5","0","0","5","0","5","0.4","1","5","5"
"4","0","0","5","0","5","0.4","144","0","1"
"4","0","0","5","0","5","0.4","145","0","1"
"5","0","0","5","0","5","0.4","2","5","5"
"4","0","0","5","0","5","0.4","146","0","1"
"4","0","0","5","0","5","0.4","147","0","1"
"5","0","0","5","0","5","0.4","3","5","5"
"4","0","0","5","0","5","0.4","148","0","1"
"4","0","0","5","0","5","0.4","149","0","1"
"5","0","0","5","0","5","0.4","4","5","5"
"4","0","0","5","0","5","0.4","150","0","1"
"4","0","0","5","0","5","0.4","151","0","1"
"4","0","0","5","0","5","0.4","152","0","1"
"5","0","0","5","0","5","0.4","5","5","5"
"4","0","0","5","0","5","0.4","153","0","1"
"5","0","0","5","0","5","0.4","6","5","5"
"4","0","0","5","0","5","0.4","154","0","1"
"5","0","0","5","0","5","0.4","7","5","5"
"4","0","0","5","0","5","0.4","155","0","1"
"5","0","0","5","0","5","0.4","8","5","5"
"4","0","0","5","0","5","0.4","156","0","1"
"4","0","0","5","0","5","0.4","157","0","1"
"5","0","0","5","0","5","0.4","9","5","5"
"4","0","0","5","0","5","0.4","158","0","1"
"5","0","0","5","0","5","0.4","10","5","5"
"4","0","0","5","0","5","0.4","159","0","1"
"5","0","0","5","0","5","0.4","11","5","5"
"4","0","0","5","0","5","0.4","160","0","1"
"5","0","0","5","0","5","0.4","12","5","4"
"4","0","0","5","0","5","0.4","161","0","1"
"4","0","0","5","0","5","0.4","162","0","1"
"5","0","0","5","0","5","0.4","13","5","4"
"4","0","0","5","0","5","0.4","163","0","1"
"4","0","0","5","0","5","0.4","164","0","1"
"5","0","0","5","0","5","0.4","14","5","4"
"4","0","0","5","0","5","0.4","165","0","1"
"5","0","0","5","0","5","0.4","15","5","4"
"4","0","0","5","0","5","0.4","166","0","1"
"4","0","0","5","0","5","0.4","167","0","1"
"5","0","0","5","0","5","0.4","16","5","3"
"4","0","0","5","0","5","0.4","168","0","1"
"5","0","0","5","0","5","0.4","17","5","3"
"4","0","0","5","0","5","0.4","169","0","1"
"5","0","0","5","0","5","0.4","18","5","3"
"4","0","0","5","0","5","0.4","170","0","1"
"5","0","0","5","0","5","0.4","19","5","3"
"4","0","0","5","0","5","0.4","171","0","1"
"4","0","0","5","0","5","0.4","172","0","1"
"5","0","0","5","0","5","0.4","20","5","3"
"4","0","0","5","0","5","0.4","173","0","1"
"5","0","0","5","0","5","0.4","21","5","3"
"4","0","0","5","0","5","0.4","174","0","1"
"5","0","0","5","0","5","0.4","22","5","3"
"5","0","0","5","0","5","0.4","23","5","3"
"5","0","0","5","0","5","0.4","24","5","3"
"1","0","0","5","0","5","0.4","0","5","5"
"6","0","0","5","0","5","0.4","0","5","5"
"5","0","0","5","0","5","0.4","25","5","3"
"5","0","0","5","0","5","0.4","26","5","3"
"6","0","0","5","0","5","0.4","1","5","5"
"5","0","0","5","0","5","0.4","27","4","3"
"6","0","0","5","0","5","0.4","2","5","5"
"5","0","0","5","0","5","0.4","28","4","3"
"6","0","0","5","0","5","0.4","3","5","5"
"1","0","0","5","0","5","0.4","1","5","5"
"6","0","0","5","0","5","0.4","4","5","4"
"5","0","0","5","0","5","0.4","29","4","3"
"6","0","0","5","0","5","0.4","5","5","4"
"1","0","0","5","0","5","0.4","2","5","5"
"5","0","0","5","0","5","0.4","30","4","2"
"6","0","0","5","0","5","0.4","6","5","4"
"1","0","0","5","0","5","0.4","3","5","5"
"5","0","0","5","0","5","0.4","31","4","2"
"6","0","0","5","0","5","0.4","7","5","4"
"5","0","0","5","0","5","0.4","32","4","2"
"1","0","0","5","0","5","0.4","4","5","5"
"5","0","0","5","0","5","0.4","33","4","2"
"6","0","0","5","0","5","0.4","8","5","4"
"5","0","0","5","0","5","0.4","34","4","2"
"6","0","0","5","0","5","0.4","9","5","4"
"5","0","0","5","0","5","0.4","35","4","2"
"1","0","0","5","0","5","0.4","5","5","5"
"6","0","0","5","0","5","0.4","10","5","4"
"5","0","0","5","0","5","0.4","36","4","2"
"1","0","0","5","0","5","0.4","6","5","5"
"5","0","0","5","0","5","0.4","37","4","2"
"6","0","0","5","0","5","0.4","11","5","4"
"5","0","0","5","0","5","0.4","38","4","2"
"1","0","0","5","0","5","0.4","7","5","5"
"6","0","0","5","0","5","0.4","12","5","4"
"5","0","0","5","0","5","0.4","39","4","2"
"1","0","0","5","0","5","0.4","8","5","5"
"6","0","0","5","0","5","0.4","13","5","4"
"5","0","0","5","0","5","0.4","40","4","2"
"1","0","0","5","0","5","0.4","9","5","5"
"6","0","0","5","0","5","0.4","14","5","4"
"5","0","0","5","0","5","0.4","41","4","2"
"6","0","0","5","0","5","0.4","15","5","4"
"5","0","0","5","0","5","0.4","42","4","2"
"1","0","0","5","0","5","0.4","10","5","5"
"6","0","0","5","0","5","0.4","16","5","4"
"5","0","0","5","0","5","0.4","43","4","2"
"1","0","0","5","0","5","0.4","11","5","5"
"5","0","0","5","0","5","0.4","44","4","2"
"6","0","0","5","0","5","0.4","17","5","4"
"5","0","0","5","0","5","0.4","45","4","2"
"6","0","0","5","0","5","0.4","18","3","4"
"5","0","0","5","0","5","0.4","46","4","2"
"6","0","0","5","0","5","0.4","19","3","4"
"5","0","0","5","0","5","0.4","47","4","2"
"5","0","0","5","0","5","0.4","48","4","2"
"6","0","0","5","0","5","0.4","20","3","4"
"1","0","0","5","0","5","0.4","12","5","4"
"5","0","0","5","0","5","0.4","49","4","2"
"6","0","0","5","0","5","0.4","21","3","4"
"5","0","0","5","0","5","0.4","50","4","2"
"6","0","0","5","0","5","0.4","22","3","4"
"1","0","0","5","0","5","0.4","13","5","4"
"5","0","0","5","0","5","0.4","51","4","2"
"6","0","0","5","0","5","0.4","23","3","4"
