"BehaviorSpace results (NetLogo 6.3.0)"
"project-upgraded.nlogo"
"upgraded-model-less-trap-percentage-0.0-plus-camouflage-100"
"10/29/2022 02:46:20:023 +0100"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","yellow-food-percentage","n-shelter","expert-kill-basic-min-energy","n-basic-agent","n-expert-agent","green-food-percentage","basic-agent-camouflage-percentage","trap-percentage","[step]","count basic-agent","count expert-agent"
"3","2.5","5","101","18","18","7","100","0","44","18","18"
"2","2.5","5","101","18","18","7","100","0","45","18","18"
"3","2.5","5","101","18","18","7","100","0","45","18","18"
"2","2.5","5","101","18","18","7","100","0","46","18","18"
"3","2.5","5","101","18","18","7","100","0","46","18","18"
"2","2.5","5","101","18","18","7","100","0","47","18","18"
"3","2.5","5","101","18","18","7","100","0","47","18","18"
"2","2.5","5","101","18","18","7","100","0","48","18","18"
"3","2.5","5","101","18","18","7","100","0","48","18","18"
"2","2.5","5","101","18","18","7","100","0","49","18","18"
"3","2.5","5","101","18","18","7","100","0","49","18","18"
"1","2.5","5","101","18","18","7","100","0","2","18","18"
"2","2.5","5","101","18","18","7","100","0","50","18","18"
"3","2.5","5","101","18","18","7","100","0","50","18","18"
"2","2.5","5","101","18","18","7","100","0","51","18","18"
"3","2.5","5","101","18","18","7","100","0","51","18","18"
"2","2.5","5","101","18","18","7","100","0","52","18","18"
"2","2.5","5","101","18","18","7","100","0","53","18","18"
"3","2.5","5","101","18","18","7","100","0","52","18","18"
"2","2.5","5","101","18","18","7","100","0","54","18","18"
"3","2.5","5","101","18","18","7","100","0","53","18","18"
"2","2.5","5","101","18","18","7","100","0","55","18","18"
"3","2.5","5","101","18","18","7","100","0","54","18","18"
"2","2.5","5","101","18","18","7","100","0","56","18","18"
"3","2.5","5","101","18","18","7","100","0","55","18","18"
"2","2.5","5","101","18","18","7","100","0","57","18","18"
"3","2.5","5","101","18","18","7","100","0","56","18","18"
"2","2.5","5","101","18","18","7","100","0","58","18","18"
"3","2.5","5","101","18","18","7","100","0","57","18","18"
"2","2.5","5","101","18","18","7","100","0","59","18","18"
"3","2.5","5","101","18","18","7","100","0","58","18","18"
"2","2.5","5","101","18","18","7","100","0","60","18","18"
"3","2.5","5","101","18","18","7","100","0","59","18","18"
"2","2.5","5","101","18","18","7","100","0","61","18","18"
"2","2.5","5","101","18","18","7","100","0","62","18","18"
"3","2.5","5","101","18","18","7","100","0","60","18","18"
"2","2.5","5","101","18","18","7","100","0","63","18","18"
